run, time(ms), voltage(mV), energy(uJ), energy(uWh), charge(uC), charge(uAh)
182, 11.820000, 562.043369, -0.000095, -0.000000, -0.000162, -0.000000
183, 11.820000, 561.230838, -0.000127, -0.000000, -0.000223, -0.000000
184, 11.830000, 561.128438, -0.000131, -0.000000, -0.000231, -0.000000
185, 11.800000, 561.352670, -0.000119, -0.000000, -0.000211, -0.000000
186, 11.640000, 561.502218, -0.000087, -0.000000, -0.000149, -0.000000
187, 11.030000, 561.456978, -0.000042, -0.000000, -0.000070, -0.000000
188, 11.820000, 561.417162, -0.000017, -0.000000, -0.000023, -0.000000
189, 11.310000, 562.178016, 0.000005, 0.000000, 0.000017, 0.000000
190, 10.950000, 561.912119, 0.000006, 0.000000, 0.000019, 0.000000
191, 11.820000, 561.653018, -0.000009, -0.000000, -0.000007, -0.000000
192, 12.530000, 562.118888, -0.000038, -0.000000, -0.000058, -0.000000
193, 11.740000, 561.832905, -0.000059, -0.000000, -0.000096, -0.000000
194, 11.330000, 561.814547, -0.000104, -0.000000, -0.000179, -0.000000
195, 12.510000, 561.304688, -0.000129, -0.000000, -0.000226, -0.000000
196, 11.820000, 561.118722, -0.000133, -0.000000, -0.000234, -0.000000
197, 11.250000, 561.639488, -0.000120, -0.000000, -0.000213, -0.000000
198, 12.530000, 561.403513, -0.000106, -0.000000, -0.000185, -0.000000
199, 11.010000, 561.592638, -0.000079, -0.000000, -0.000137, -0.000000
200, 12.590000, 561.875641, -0.000040, -0.000000, -0.000064, -0.000000
201, 11.820000, 561.736524, -0.000008, -0.000000, -0.000007, -0.000000
202, 11.840000, 562.392890, -0.000002, -0.000000, 0.000005, 0.000000
203, 11.820000, 561.298311, -0.000015, -0.000000, -0.000018, -0.000000
204, 11.820000, 561.766446, -0.000035, -0.000000, -0.000053, -0.000000
205, 11.800000, 562.769353, -0.000080, -0.000000, -0.000135, -0.000000
206, 11.840000, 561.426878, -0.000122, -0.000000, -0.000212, -0.000000
207, 11.820000, 562.942266, -0.000131, -0.000000, -0.000232, -0.000000
208, 11.820000, 563.065112, -0.000124, -0.000000, -0.000219, -0.000000
209, 11.800000, 562.745810, -0.000099, -0.000000, -0.000172, -0.000000
210, 11.840000, 562.863171, -0.000052, -0.000000, -0.000086, -0.000000
211, 11.800000, 562.150598, -0.000012, -0.000000, -0.000013, -0.000000
212, 11.820000, 562.767923, -0.000001, -0.000000, 0.000007, 0.000000
213, 11.820000, 562.743962, -0.000013, -0.000000, -0.000014, -0.000000
214, 11.840000, 562.576652, -0.000031, -0.000000, -0.000046, -0.000000
215, 11.800000, 562.753022, -0.000072, -0.000000, -0.000120, -0.000000
216, 11.820000, 561.942875, -0.000117, -0.000000, -0.000204, -0.000000
217, 11.820000, 562.469661, -0.000133, -0.000000, -0.000234, -0.000000
218, 11.840000, 562.457919, -0.000127, -0.000000, -0.000224, -0.000000
219, 11.800000, 562.144578, -0.000105, -0.000000, -0.000183, -0.000000
220, 11.640000, 562.543988, -0.000062, -0.000000, -0.000104, -0.000000
221, 11.740000, 562.083423, -0.000015, -0.000000, -0.000019, -0.000000
222, 11.150000, 562.464237, 0.000005, 0.000000, 0.000017, 0.000000
223, 11.600000, 562.030971, -0.000001, -0.000000, 0.000008, 0.000000
224, 12.530000, 561.899364, -0.000018, -0.000000, -0.000023, -0.000000
225, 11.390000, 562.628269, -0.000021, -0.000000, -0.000029, -0.000000
226, 11.700000, 561.948359, -0.000040, -0.000000, -0.000062, -0.000000
