time (in 10s), voltage_device (mV), voltage_esp (mV)
513, 540.511429, 548.7
514, 540.294349, 537.3
515, 540.156066, 565.2
516, 540.317178, 518.1
517, 540.072978, 528.6
518, 540.28666, 525.9
519, 540.365458, 516.9
520, 540.187955, 556.8
521, 539.834619, 567.0
522, 539.820969, 537.0
523, 539.958596, 527.4
524, 539.82091, 535.8
525, 540.192425, 546.3
526, 540.015638, 558.9
527, 539.828181, 526.5
528, 539.911389, 550.8
529, 540.009797, 570.9
530, 539.994895, 515.4
531, 539.572239, 559.8
532, 539.903641, 523.8
533, 539.812326, 559.8
534, 539.701641, 522.6
535, 540.015161, 513.9
536, 540.173471, 550.2
537, 540.114701, 545.7
538, 539.656997, 557.1
539, 539.617836, 513.6
540, 539.901257, 565.5
541, 539.874613, 557.7
542, 539.652288, 501.6
543, 539.911807, 504.3
544, 540.283144, 542.1
545, 540.067375, 570.9
546, 539.674699, 508.2
547, 539.507031, 507.3
548, 539.896786, 517.5
549, 540.090799, 555.6
550, 540.044069, 530.4
551, 540.134311, 543.3
552, 540.066183, 534.6
553, 540.058374, 547.5
554, 539.959311, 546.0
555, 540.160835, 522.3
556, 540.22187, 540.9
557, 540.111184, 523.8
558, 540.43752, 543.9
559, 540.117502, 531.0
560, 540.158987, 532.2
561, 540.037513, 548.4
562, 540.13741, 538.5
563, 540.374994, 536.1
564, 539.671302, 534.0
565, 540.106356, 545.7
566, 540.284634, 538.8
567, 539.919853, 537.3
568, 540.222824, 539.4
569, 540.061355, 551.4
570, 540.012777, 528.9
571, 540.291786, 539.4
572, 539.912879, 543.6
573, 540.107906, 540.3
574, 540.514112, 533.7
575, 539.835215, 537.3
576, 539.913476, 523.2
577, 540.132463, 522.0
578, 540.038109, 541.5
579, 540.412545, 539.4
580, 540.070951, 539.4
581, 539.970279, 525.0
582, 540.220499, 525.9
583, 539.85399, 544.2
584, 539.908111, 534.0
585, 540.311038, 534.3
586, 540.214896, 545.1
